consumer,cuisines_name,restraunt_name,restraunt_cuisines
U1015,Mexican,"Cenaduria El RincÃ³n De Tlaquepaque",Mexican
U1015,Mexican,Chaires,Bakery
U1015,Mexican,Chaires,Cafeteria
U1015,Mexican,"Dominos Pizza",Pizzeria
U1015,Mexican,KFC,American
U1015,Mexican,KFC,Game
U1015,Mexican,"Restaurante La Cantina",Bar
U1015,Mexican,"Restaurante La Cantina",Brewery
U1015,Mexican,"Restaurante Y Pescaderia Tampico",Seafood
U1015,Mexican,"Tortas Y Hamburguesas El Gordo",Burgers
U1016,"Barbecue,Eastern European,Moroccan,Japanese,Regional,Polish,Contemporary,Fusion,Coffee Shop,American,Lebanese,Indian,Portuguese,Polynesian","Cafeteria Y Restaurant El Pacifico",Cafeteria
U1016,"Japanese,Regional,Contemporary,Portuguese,Indian,Lebanese,Coffee Shop,Moroccan,Eastern European,Barbecue,Polynesian,Fusion,Polish,American","Cafeteria Y Restaurant El Pacifico",Contemporary
U1016,"Coffee Shop,Portuguese,Moroccan,American,Japanese,Polish,Indian,Barbecue,Fusion,Polynesian,Regional,Lebanese,Contemporary,Eastern European","El RincÃ³n De San Francisco",Mexican
U1016,"Polish,Coffee Shop,Fusion,Barbecue,Contemporary,Portuguese,Polynesian,Moroccan,Regional,Lebanese,American,Indian,Eastern European,Japanese","Gorditas Doa Gloria",Mexican
U1016,"Polish,Lebanese,Indian,Contemporary,Portuguese,Barbecue,Polynesian,Japanese,American,Coffee Shop,Moroccan,Fusion,Regional,Eastern European","La Cantina Restaurante",Bar
U1016,"Lebanese,Polish,Fusion,Portuguese,Regional,Polynesian,Eastern European,American,Contemporary,Moroccan,Coffee Shop,Japanese,Indian,Barbecue","La Cantina Restaurante",Brewery
U1016,"Polynesian,American,Fusion,Contemporary,Eastern European,Coffee Shop,Indian,Moroccan,Regional,Lebanese,Barbecue,Portuguese,Polish,Japanese","La Posada Del Virrey",International
U1016,"Polish,Coffee Shop,Contemporary,Regional,Fusion,Japanese,Portuguese,American,Indian,Eastern European,Lebanese,Moroccan,Barbecue,Polynesian","Restaurant Oriental Express",Chinese
U1016,"Fusion,Moroccan,Eastern European,Indian,Japanese,American,Barbecue,Polynesian,Portuguese,Lebanese,Regional,Polish,Contemporary,Coffee Shop","Restaurante Marisco Sam",Seafood
U1016,"Moroccan,Portuguese,Eastern European,Barbecue,Regional,Indian,Japanese,Polynesian,American,Coffee Shop,Fusion,Lebanese,Polish,Contemporary","Tortas Locas Hipocampo","Fast Food"
U1016,"Lebanese,American,Regional,Indian,Fusion,Contemporary,Barbecue,Portuguese,Polish,Polynesian,Japanese,Coffee Shop,Eastern European,Moroccan","Unicol's Pizza",Italian
U1017,Chinese,"Mariscos Tia Licha",Family
U1017,Chinese,"Restaurant And Bar And Clothesline Carlos N Charlies",Bar
U1017,Chinese,"Restaurant And Bar And Clothesline Carlos N Charlies",Brewery
U1018,Mexican,"Abondance Restaurante Bar",Bar
U1018,Mexican,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1018,Mexican,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1018,Mexican,"El Herradero Restaurante And Bar",Bar
U1018,Mexican,"El Rincon De San Francisco",Mexican
U1018,Mexican,"Pizza Clasica","Fast Food"
U1018,Mexican,"Pizza Clasica",Pizzeria
U1019,Family,Crudalia,Bar
U1019,Family,"Gorditas Doa Gloria",Mexican
U1019,Family,"Koye Sushi",Chinese
U1019,Family,"McDonalds Parque Tangamanga",Burgers
U1019,Family,"McDonalds Parque Tangamanga","Fast Food"
U1019,Family,"Unicol's Pizza",Italian
U1020,Mexican,"Cafeteria Cenidet",Cafeteria
U1020,Mexican,"Mariscos Tia Licha",Family
U1020,Mexican,Paniroles,Italian
U1021,"Pizzeria,Regional,Chinese,Burgers","Carreton De Flautas Y Migadas",Mexican
U1021,"Pizzeria,Regional,Chinese,Burgers","Tacos De La Estacion",Mexican
U1021,"Pizzeria,Regional,Chinese,Burgers","Tacos El Guero",Mexican
U1022,Mexican,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1022,Mexican,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1022,Mexican,"El Herradero Restaurante And Bar",Bar
U1022,Mexican,"El Rincon De San Francisco",Mexican
U1022,Mexican,"La Cantina Restaurante",Bar
U1022,Mexican,"La Cantina Restaurante",Brewery
U1022,Mexican,"Restaurante Bar El Gallinero",Bar
U1022,Mexican,"Restaurante Bar El Gallinero",Brewery
U1022,Mexican,"Restaurante Marisco Sam",Seafood
U1023,Mexican,"Carreton De Flautas Y Migadas",Mexican
U1023,Mexican,"Little Caesars",Pizzeria
U1023,Mexican,"Tacos De La Estacion",Mexican
U1023,Mexican,"Tortas Hawaii","Fast Food"
U1024,Afghan,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1024,Afghan,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1024,Afghan,"El RincÃ³n De San Francisco",Mexican
U1024,Afghan,"Gorditas Doa Gloria",Mexican
U1024,Afghan,"La Virreina",Mexican
U1024,Afghan,"Luna Cafe",Bar
U1024,Afghan,"Luna Cafe",Cafeteria
U1024,Afghan,"Preambulo Wifi Zone Cafe",Cafeteria
U1024,Afghan,"Preambulo Wifi Zone Cafe","Coffee Shop"
U1024,Afghan,"Puesto De Tacos",Mexican
U1024,Afghan,"Restaurant De Mariscos De Picon",Seafood
U1024,Afghan,"Restaurant Oriental Express",Chinese
U1024,Afghan,"Restaurant Orizatlan",Mexican
U1024,Afghan,"Restaurante Bar El Gallinero",Bar
U1024,Afghan,"Restaurante Bar El Gallinero",Brewery
U1024,Afghan,"Restaurante Marisco Sam",Seafood
U1025,Mexican,Chaires,Bakery
U1025,Mexican,Chaires,Cafeteria
U1025,Mexican,"El Lechon Potosino ",International
U1025,Mexican,"La Virreina",Mexican
U1025,Mexican,"Puesto De Tacos",Mexican
U1025,Mexican,"Restaurante La Cantina",Bar
U1025,Mexican,"Restaurante La Cantina",Brewery
U1025,Mexican,"Tacos Los Volcanes",American
U1026,Mexican,"Gorditas Dona Tota",Mexican
U1026,Mexican,"La Perica Hamburguesa",Italian
U1026,Mexican,"Tacos Correcaminos",Mexican
U1027,Family,Crudalia,Bar
U1027,Family,"El Pueblito",Mexican
U1027,Family,"La Cantina Restaurante",Bar
U1027,Family,"La Cantina Restaurante",Brewery
U1027,Family,"Pizzeria Julios",American
U1027,Family,"Restaurant Oriental Express",Chinese
U1027,Family,"Rockabilly ",Bar
U1027,Family,"Shi Ro Ie",Japanese
U1027,Family,"Tortas Locas Hipocampo","Fast Food"
U1027,Family,Vips,American
U1028,Mexican,"Carnitas Mata",Mexican
U1028,Mexican,"Carreton De Flautas Y Migadas",Mexican
U1028,Mexican,"Little Caesars",Pizzeria
U1028,Mexican,"Palomo Tec",Mexican
U1028,Mexican,"Tacos Abi",Mexican
U1028,Mexican,"Taqueria El Amigo ",Mexican
U1028,Mexican,Vips,Mexican
U1029,Mexican,"Cabana Huasteca",Mexican
U1029,Mexican,"Cafe Punta Del Cielo",Cafeteria
U1029,Mexican,Crudalia,Bar
U1029,Mexican,"Gorditas Doa Gloria",Mexican
U1029,Mexican,"La Posada Del Virrey",International
U1029,Mexican,"Puesto De Tacos",Mexican
U1029,Mexican,"Restaurant Bar Hacienda Los Martinez",Bar
U1029,Mexican,"Rockabilly ",Bar
U1029,Mexican,"Tortas Locas Hipocampo","Fast Food"
U1030,Mexican,"Cafeteria Cenidet",Cafeteria
U1030,Mexican,"El Oceano Dorado",Mexican
U1030,Mexican,Paniroles,Italian
U1030,Mexican,"Restaurant Bar Coty Y Pablo",Bar
U1030,Mexican,"Restaurant Familiar El Chino",Vietnamese
U1030,Mexican,"Restaurant Las MaÃ±anitas",International
U1031,Mexican,"Tacos Abi",Mexican
U1031,Mexican,"Tacos Correcaminos",Mexican
U1031,Mexican,"Tacos El Guero",Mexican
U1032,Mexican,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1032,Mexican,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1032,Mexican,"Gorditas Doa Gloria",Mexican
U1032,Mexican,"Koye Sushi",Chinese
U1032,Mexican,"Pizzeria Julios",American
U1032,Mexican,"Restaurant Oriental Express",Chinese
U1032,Mexican,"Restaurante Marisco Sam",Seafood
U1032,Mexican,"Restaurante Tiberius",Pizzeria
U1032,Mexican,"Tortas Locas Hipocampo","Fast Food"
U1032,Mexican,"Unicol's Pizza",Italian
U1033,Mexican,"Cafe Chaires",Cafeteria
U1033,Mexican,Crudalia,Bar
U1033,Mexican,"La Virreina",Mexican
U1033,Mexican,"Mariscos El Pescador",Seafood
U1033,Mexican,"Preambulo Wifi Zone Cafe",Cafeteria
U1033,Mexican,"Preambulo Wifi Zone Cafe","Coffee Shop"
U1033,Mexican,"Restaurante El Reyecito","Fast Food"
U1033,Mexican,"Tortas Locas Hipocampo","Fast Food"
U1033,Mexican,Vips,American
U1034,Mexican,"El Mundo De La Pasta",Italian
U1034,Mexican,"Gordas De Morales",Mexican
U1034,Mexican,"La Cochinita Pibil Restaurante Yucateco",Mexican
U1034,Mexican,"McDonalds Parque Tangamanga",Burgers
U1034,Mexican,"McDonalds Parque Tangamanga","Fast Food"
U1034,Mexican,"Restaurante De Mariscos La Langosta",Seafood
U1035,Family,"El Cotorreo",Family
U1035,Family,"El Cotorreo",Mexican
U1035,Family,"El Oceano Dorado",Mexican
U1035,Family,"McDonalds Centro",American
U1035,Family,"Restaurant Las MaÃ±anitas",International
U1036,Mexican,"Cabana Huasteca",Mexican
U1036,Mexican,"El Rincon De San Francisco",Mexican
U1036,Mexican,"Gorditas Doa Gloria",Mexican
U1036,Mexican,"Koye Sushi",Chinese
U1036,Mexican,"La Cantina Restaurante",Bar
U1036,Mexican,"La Cantina Restaurante",Brewery
U1036,Mexican,"Puesto De Tacos",Mexican
U1036,Mexican,"Restaurant Bar Hacienda Los Martinez",Bar
U1036,Mexican,"Restaurant Oriental Express",Chinese
U1036,Mexican,"Tortas Locas Hipocampo","Fast Food"
U1037,Mexican,"Cenaduria El RincÃ³n De Tlaquepaque",Mexican
U1037,Mexican,"Dominos Pizza",Pizzeria
U1037,Mexican,KFC,American
U1037,Mexican,KFC,Game
U1037,Mexican,"Restaurante La Cantina",Bar
U1037,Mexican,"Restaurante La Cantina",Brewery
U1037,Mexican,"Restaurante Y Pescaderia Tampico",Seafood
U1037,Mexican,Sirlone,International
U1038,Mexican,"Carl's Jr",Burgers
U1038,Mexican,"Hamburguesas Valle Dorado",Burgers
U1038,Mexican,"La Posada Del Virrey",International
U1038,Mexican,Sirlone,International
U1038,Mexican,"Unicol's Pizza",Italian
U1039,Regional,"La Perica Hamburguesa",Italian
U1039,Regional,"Tacos Correcaminos",Mexican
U1040,Pizzeria,"El Cotorreo",Family
U1040,Pizzeria,"El Cotorreo",Mexican
U1040,Pizzeria,"Kiku Cuernavaca",Japanese
U1040,Pizzeria,"Restaurant Bar Coty Y Pablo",Bar
U1041,Contemporary,"Mariscos Tia Licha",Family
U1041,Contemporary,Paniroles,Italian
U1041,Contemporary,"Restaurant And Bar And Clothesline Carlos N Charlies",Bar
U1041,Contemporary,"Restaurant And Bar And Clothesline Carlos N Charlies",Brewery
U1041,Contemporary,Subway,"Fast Food"
U1042,Mexican,"Mariscos Tia Licha",Family
U1042,Mexican,"Restaurant Las MaÃ±anitas",International
U1042,Mexican,Subway,"Fast Food"
U1043,"Latin American","Carnitas Mata",Mexican
U1043,"Latin American","Hamburguesas La Perica",Mexican
U1043,"Latin American","Palomo Tec",Mexican
U1043,"Latin American","Pollo Frito Buenos Aires","Fast Food"
U1043,"Latin American","Taqueria El Amigo ",Mexican
U1044,Mexican,"Cafeteria Cenidet",Cafeteria
U1044,Mexican,"Mariscos Tia Licha",Family
U1044,Mexican,"McDonalds Centro",American
U1044,Mexican,"Restaurant Las MaÃ±anitas",International
U1045,"Moroccan,Middle Eastern,Mongolian,Mexican","Cafeteria Y Restaurant El Pacifico",Cafeteria
U1045,"Middle Eastern,Moroccan,Mexican,Mongolian","Cafeteria Y Restaurant El Pacifico",Contemporary
U1045,"Middle Eastern,Mongolian,Moroccan,Mexican","Gorditas Doa Gloria",Mexican
U1045,"Middle Eastern,Moroccan,Mongolian,Mexican","La Cantina Restaurante",Bar
U1045,"Middle Eastern,Mexican,Moroccan,Mongolian","La Cantina Restaurante",Brewery
U1045,"Middle Eastern,Mexican,Moroccan,Mongolian","Luna Cafe",Bar
U1045,"Mexican,Middle Eastern,Mongolian,Moroccan","Luna Cafe",Cafeteria
U1045,"Mongolian,Mexican,Middle Eastern,Moroccan","Puesto De Tacos",Mexican
U1045,"Mexican,Mongolian,Moroccan,Middle Eastern","Restaurante Marisco Sam",Seafood
U1045,"Mongolian,Mexican,Middle Eastern,Moroccan","Tortas Locas Hipocampo","Fast Food"
U1045,"Mongolian,Mexican,Middle Eastern,Moroccan","Unicol's Pizza",Italian
U1046,Bar,"Cafe Chaires",Cafeteria
U1046,Bar,"Carl's Jr",Burgers
U1046,Bar,Crudalia,Bar
U1046,Bar,"La Cantina",Bar
U1046,Bar,"La Cantina",Brewery
U1046,Bar,"Restaurant Wu Zhuo Yi",Chinese
U1046,Bar,"Restaurante Tiberius",Pizzeria
U1046,Bar,"Tortas Locas Hipocampo","Fast Food"
U1046,Bar,Vips,American
U1047,American,"Shi Ro Ie",Japanese
U1048,Mexican,"Gordas De Morales",Mexican
U1048,Mexican,"La Cantina",Bar
U1048,Mexican,"La Cantina",Brewery
U1048,Mexican,"La Estrella De Dimas",Mexican
U1048,Mexican,"Michiko Restaurant Japones",Japanese
U1048,Mexican,"Restaurante Bar Fu-Hao",Bar
U1048,Mexican,"Restaurante De Mariscos La Langosta",Seafood
U1049,Mexican,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1049,Mexican,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1049,Mexican,Crudalia,Bar
U1049,Mexican,"La Cantina Restaurante",Bar
U1049,Mexican,"La Cantina Restaurante",Brewery
U1049,Mexican,"La Posada Del Virrey",International
U1049,Mexican,"Luna Cafe",Bar
U1049,Mexican,"Luna Cafe",Cafeteria
U1049,Mexican,"Puesto De Tacos",Mexican
U1049,Mexican,"Restaurant Oriental Express",Chinese
U1049,Mexican,"Tortas Locas Hipocampo","Fast Food"
U1050,Mexican,"Carreton De Flautas Y Migadas",Mexican
U1050,Mexican,"Gorditas DoÃ±a Tota",Mexican
U1050,Mexican,"Hamburguesas La Perica",Mexican
U1050,Mexican,"Pollo Frito Buenos Aires","Fast Food"
U1050,Mexican,"Puesto de Gorditas",Regional
U1050,Mexican,"Tacos De Barbacoa Enfrente Del Tec",Mexican
U1050,Mexican,"Taqueria El Amigo ",Mexican
U1051,Mexican,"Cafeteria Cenidet",Cafeteria
U1051,Mexican,"Mariscos Tia Licha",Family
U1051,Mexican,Paniroles,Italian
U1052,Bakery,Chaires,Bakery
U1052,Bakery,Chaires,Cafeteria
U1052,Bakery,"Dominos Pizza",Pizzeria
U1052,Bakery,KFC,American
U1052,Bakery,KFC,Game
U1052,Bakery,"Tortas Y Hamburguesas El Gordo",Burgers
U1053,Mexican,"Cabana Huasteca",Mexican
U1053,Mexican,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1053,Mexican,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1053,Mexican,"El Rincon De San Francisco",Mexican
U1053,Mexican,"La Fontana Pizza Restaurante And Cafe",Cafeteria
U1053,Mexican,"La Fontana Pizza Restaurante And Cafe","Fast Food"
U1053,Mexican,"La Fontana Pizza Restaurante And Cafe",Pizzeria
U1053,Mexican,"Puesto De Tacos",Mexican
U1053,Mexican,"Restaurant Oriental Express",Chinese
U1053,Mexican,"Restaurante Marisco Sam",Seafood
U1054,Mexican,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1054,Mexican,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1054,Mexican,"El Rincon De San Francisco",Mexican
U1054,Mexican,"La Cantina Restaurante",Bar
U1054,Mexican,"La Cantina Restaurante",Brewery
U1054,Mexican,"Luna Cafe",Bar
U1054,Mexican,"Luna Cafe",Cafeteria
U1054,Mexican,"Restaurant De Mariscos De Picon",Seafood
U1054,Mexican,"Restaurante Marisco Sam",Seafood
U1054,Mexican,"Unicol's Pizza",Italian
U1055,Breakfast,"Cabana Huasteca",Mexican
U1055,Breakfast,"Cafe Chaires",Cafeteria
U1055,Breakfast,"El RincÃ³n De San Francisco",Mexican
U1055,Breakfast,"El Rincon De San Francisco",Mexican
U1055,Breakfast,"La Virreina",Mexican
U1055,Breakfast,"Mariscos El Pescador",Seafood
U1055,Breakfast,"Puesto De Tacos",Mexican
U1055,Breakfast,"Restaurante Bar Fu-Hao",Bar
U1056,Mexican,"La Cantina Restaurante",Bar
U1056,Mexican,"La Cantina Restaurante",Brewery
U1056,Mexican,"Puesto De Tacos",Mexican
U1056,Mexican,"Restaurant Orizatlan",Mexican
U1056,Mexican,"Tortas Locas Hipocampo","Fast Food"
U1057,American,"Gorditas Doa Gloria",Mexican
U1057,American,"La Parroquia",Breakfast
U1057,American,"La Posada Del Virrey",International
U1057,American,"Mariscos El Pescador",Seafood
U1057,American,"Pizza Clasica","Fast Food"
U1057,American,"Pizza Clasica",Pizzeria
U1057,American,"Preambulo Wifi Zone Cafe",Cafeteria
U1057,American,"Preambulo Wifi Zone Cafe","Coffee Shop"
U1057,American,"Puesto De Tacos",Mexican
U1057,American,"Restaurante El Reyecito","Fast Food"
U1058,Cuban,"Hamburguesas Saul",Cafeteria
U1058,Cuban,"La Cochinita Pibil Restaurante Yucateco",Mexican
U1058,Cuban,"La Fontana Pizza Restaurante And Cafe",Cafeteria
U1058,Cuban,"La Fontana Pizza Restaurante And Cafe","Fast Food"
U1058,Cuban,"La Fontana Pizza Restaurante And Cafe",Pizzeria
U1058,Cuban,"Pizza Clasica","Fast Food"
U1058,Cuban,"Pizza Clasica",Pizzeria
U1058,Cuban,"Pizzeria Julios",American
U1058,Cuban,"Restaurante Tiberius",Pizzeria
U1059,Mexican,"Cabana Huasteca",Mexican
U1059,Mexican,Emilianos,Brewery
U1059,Mexican,"La Posada Del Virrey",International
U1059,Mexican,"La Virreina",Mexican
U1059,Mexican,"Mariscos El Pescador",Seafood
U1059,Mexican,"Preambulo Wifi Zone Cafe",Cafeteria
U1059,Mexican,"Preambulo Wifi Zone Cafe","Coffee Shop"
U1059,Mexican,"Puesto De Tacos",Mexican
U1059,Mexican,"Restaurant Wu Zhuo Yi",Chinese
U1059,Mexican,"Tortas Locas Hipocampo","Fast Food"
U1060,"Burgers,Coffee Shop,Fast Food,Cafeteria,American,Mexican,Pizzeria,Tex Mex,Spanish,Juice,Soup,Hot Dogs,Italian","Carreton De Flautas Y Migadas",Mexican
U1060,"American,Burgers,Tex Mex,Spanish,Mexican,Fast Food,Coffee Shop,Cafeteria,Soup,Pizzeria,Hot Dogs,Juice,Italian","Little Caesars",Pizzeria
U1060,"Fast Food,American,Juice,Coffee Shop,Spanish,Cafeteria,Soup,Tex Mex,Mexican,Hot Dogs,Burgers,Pizzeria,Italian","Tortas Hawaii","Fast Food"
U1061,Mexican,"Cabana Huasteca",Mexican
U1061,Mexican,"Cafe Chaires",Cafeteria
U1061,Mexican,Crudalia,Bar
U1061,Mexican,Emilianos,Brewery
U1061,Mexican,"Gordas De Morales",Mexican
U1061,Mexican,"Gorditas Doa Gloria",Mexican
U1061,Mexican,"La Cantina",Bar
